Kategori: Semua kategori

Wilayah,love bonito: (05/12/22 - 05/12/23)
Daerah Khusus Ibukota Jakarta,100
Banten,48
Kepulauan Riau,38
Bali,31
Sumatera Utara,21
Jawa Barat,13
Jawa Timur,12
Jawa Tengah,5
Gorontalo,
Bengkulu,
Kepulauan Bangka Belitung,
Kalimantan Barat,
Aceh,
Riau,
Kalimantan Tengah,
Sulawesi Selatan,
Jambi,
Sumatera Selatan,
Daerah Istimewa Yogyakarta,
Kalimantan Timur,
Kalimantan Selatan,
Kalimantan Utara,
Lampung,
Maluku,
Maluku Utara,
Nusa Tenggara Barat,
Nusa Tenggara Timur,
Papua,
Papua Barat,
Sulawesi Utara,
Sumatera Barat,
Sulawesi Tenggara,
Sulawesi Barat,
Sulawesi Tengah,
