,alias,dateCreate,productID,shopID,shopName,minOrder,maxOrder,weight,weightUnit,condition,status,product_url,needPrescription,catalogID,isLeasing,isBlacklisted,isTokoNow,etalase_id,etalase_name,etalase_url,category_id,category_name,category_title,category_url,isAdult,isKyc,minAge,related_category_id,related_category_name,related_category_url,transactionSuccess,transactionReject,countSold,paymentVerified,itemSoldFmt,countView,countReview,countTalk,rating,product_name,product_price,currency,useStock,stockValue,isVariant,isCOD,soldPerViewRatio,productRevenue
0,love-bonito-celana-polina-pleated-velvet-straight-leg-trousers-navy-blue-xl-c2d7d,2023-11-27T17:43:12+07:00,12215080081,9633142,"Love, Bonito Indonesia",1,3,300,GRAM,NEW,ACTIVE,https://www.tokopedia.com/lovebonitoid/love-bonito-celana-polina-pleated-velvet-straight-leg-trousers-navy-blue-xl-c2d7d,False,0,False,False,False,29309078,New In,https://www.tokopedia.com/lovebonitoid/etalase/new-in,3006,Celana Panjang Wanita,Celana Panjang Wanita,https://www.tokopedia.com/p/fashion-wanita/bawahan-wanita/celana-panjang-wanita,False,False,0,"['1758', '2993', '3006']","['Fashion Wanita', 'Bawahan Wanita', 'Celana Panjang Wanita']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/bawahan-wanita', 'https://www.tokopedia.com/p/fashion-wanita/bawahan-wanita/celana-panjang-wanita']",0,0,0,1,1,44,0,0,0.0,"Love, Bonito - Celana - Polina Pleated Velvet Straight Leg Trousers - Navy Blue, XL",749000,IDR,True,3,True,True,0.0,0
1,love-bonito-atasan-wanita-oriole-turtle-neck-knit-top-charcoal-xs-5fc4f,2023-11-23T23:32:04+07:00,12188632126,9633142,"Love, Bonito Indonesia",1,2,300,GRAM,NEW,ACTIVE,https://www.tokopedia.com/lovebonitoid/love-bonito-atasan-wanita-oriole-turtle-neck-knit-top-charcoal-xs-5fc4f,False,0,False,False,False,29309078,New In,https://www.tokopedia.com/lovebonitoid/etalase/new-in,1772,Tank Top Wanita,Tank Top Wanita,https://www.tokopedia.com/p/fashion-wanita/atasan-wanita/tank-top-wanita,False,False,0,"['1758', '1768', '1772']","['Fashion Wanita', 'Atasan Wanita', 'Tank Top Wanita']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/atasan-wanita', 'https://www.tokopedia.com/p/fashion-wanita/atasan-wanita/tank-top-wanita']",0,0,0,0,,5,0,0,0.0,"Love, Bonito - Atasan Wanita - Oriole Turtle Neck Knit Top - Charcoal, XS",599000,IDR,True,2,True,True,0.0,0
2,love-bonito-dress-wanita-reine-ribbed-knit-bodycon-midi-dress-espresso-l-56858,2023-11-22T23:10:20+07:00,12178491409,9633142,"Love, Bonito Indonesia",1,10,300,GRAM,NEW,ACTIVE,https://www.tokopedia.com/lovebonitoid/love-bonito-dress-wanita-reine-ribbed-knit-bodycon-midi-dress-espresso-l-56858,False,0,False,False,False,29309078,New In,https://www.tokopedia.com/lovebonitoid/etalase/new-in,1764,Midi Dress,Midi Dress,https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress,False,False,0,"['1758', '1762', '1764']","['Fashion Wanita', 'Dress', 'Midi Dress']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/dress', 'https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress']",0,0,0,0,,30,0,0,0.0,"Love, Bonito - Dress Wanita - Reine Ribbed Knit Bodycon Midi Dress - Espresso, L",799000,IDR,True,10,True,True,0.0,0
3,love-bonito-celana-pendek-wanita-shirlene-high-waist-shorts-s-0a799,2023-11-20T19:01:46+07:00,12157868150,9633142,"Love, Bonito Indonesia",1,11,300,GRAM,NEW,ACTIVE,https://www.tokopedia.com/lovebonitoid/love-bonito-celana-pendek-wanita-shirlene-high-waist-shorts-s-0a799,False,0,False,False,False,29309078,New In,https://www.tokopedia.com/lovebonitoid/etalase/new-in,3007,Celana Pendek Wanita,Celana Pendek Wanita,https://www.tokopedia.com/p/fashion-wanita/bawahan-wanita/celana-pendek-wanita,False,False,0,"['1758', '2993', '3007']","['Fashion Wanita', 'Bawahan Wanita', 'Celana Pendek Wanita']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/bawahan-wanita', 'https://www.tokopedia.com/p/fashion-wanita/bawahan-wanita/celana-pendek-wanita']",0,0,0,1,1,53,0,0,0.0,"Love, Bonito - Celana Pendek Wanita - Shirlene High Waist Shorts - S",479000,IDR,True,11,True,True,0.0,0
4,love-bonito-celana-wanita-taniya-knit-flare-pants-oat-xl-f6e99,2023-11-17T00:04:10+07:00,12129640012,9633142,"Love, Bonito Indonesia",1,3,300,GRAM,NEW,ACTIVE,https://www.tokopedia.com/lovebonitoid/love-bonito-celana-wanita-taniya-knit-flare-pants-oat-xl-f6e99,False,0,False,False,False,29309078,New In,https://www.tokopedia.com/lovebonitoid/etalase/new-in,3006,Celana Panjang Wanita,Celana Panjang Wanita,https://www.tokopedia.com/p/fashion-wanita/bawahan-wanita/celana-panjang-wanita,False,False,0,"['1758', '2993', '3006']","['Fashion Wanita', 'Bawahan Wanita', 'Celana Panjang Wanita']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/bawahan-wanita', 'https://www.tokopedia.com/p/fashion-wanita/bawahan-wanita/celana-panjang-wanita']",0,0,0,0,,197,0,0,0.0,"Love, Bonito - Celana Wanita - Taniya Knit Flare Pants - Oat, XL",699000,IDR,True,3,True,True,0.0,0
5,love-bonito-atasan-wanita-marney-loose-jacquard-sweater-cream-m-l-08fa9,2023-11-16T20:44:13+07:00,12127220885,9633142,"Love, Bonito Indonesia",1,11,300,GRAM,NEW,ACTIVE,https://www.tokopedia.com/lovebonitoid/love-bonito-atasan-wanita-marney-loose-jacquard-sweater-cream-m-l-08fa9,False,0,False,False,False,29309078,New In,https://www.tokopedia.com/lovebonitoid/etalase/new-in,1810,Sweater Wanita,Sweater Wanita,https://www.tokopedia.com/p/fashion-wanita/outerwear-wanita/sweater-wanita,False,False,0,"['1758', '1796', '1810']","['Fashion Wanita', 'Outerwear Wanita', 'Sweater Wanita']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/outerwear-wanita', 'https://www.tokopedia.com/p/fashion-wanita/outerwear-wanita/sweater-wanita']",2,0,3,2,3,117,1,0,5.0,"Love, Bonito - Atasan Wanita - Marney Loose Jacquard Sweater - Cream, M/L",749000,IDR,True,11,True,True,0.02564102564102564,2247000
6,love-bonito-jumpsuit-wanita-shira-peached-crop-jumper-m-6ecfe,2023-11-16T01:08:05+07:00,12119903652,9633142,"Love, Bonito Indonesia",1,5,300,GRAM,NEW,ACTIVE,https://www.tokopedia.com/lovebonitoid/love-bonito-jumpsuit-wanita-shira-peached-crop-jumper-m-6ecfe,False,0,False,False,False,29309078,New In,https://www.tokopedia.com/lovebonitoid/etalase/new-in,1766,Jumpsuit & Playsuit,Jumpsuit & Playsuit,https://www.tokopedia.com/p/fashion-wanita/dress/jumpsuit-playsuit,False,False,0,"['1758', '1762', '1766']","['Fashion Wanita', 'Dress', 'Jumpsuit & Playsuit']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/dress', 'https://www.tokopedia.com/p/fashion-wanita/dress/jumpsuit-playsuit']",0,0,0,0,,85,0,0,0.0,"Love, Bonito - Jumpsuit Wanita - Shira Peached Crop Jumper - M",649000,IDR,True,5,True,True,0.0,0
7,love-bonito-dress-wanita-yassi-off-shoulder-column-midi-dress-burgundy-l-31947,2023-11-15T18:06:31+07:00,12115344981,9633142,"Love, Bonito Indonesia",1,5,300,GRAM,NEW,ACTIVE,https://www.tokopedia.com/lovebonitoid/love-bonito-dress-wanita-yassi-off-shoulder-column-midi-dress-burgundy-l-31947,False,0,False,False,False,29309078,New In,https://www.tokopedia.com/lovebonitoid/etalase/new-in,1764,Midi Dress,Midi Dress,https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress,False,False,0,"['1758', '1762', '1764']","['Fashion Wanita', 'Dress', 'Midi Dress']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/dress', 'https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress']",0,0,0,0,,17,0,0,0.0,"Love, Bonito - Dress Wanita - Yassi Off Shoulder Column Midi Dress - Burgundy, L",849000,IDR,True,5,True,True,0.0,0
8,love-bonito-dress-wanita-gabby-collared-knit-midi-dress-l-15089,2023-11-15T16:25:15+07:00,12114100068,9633142,"Love, Bonito Indonesia",1,7,300,GRAM,NEW,ACTIVE,https://www.tokopedia.com/lovebonitoid/love-bonito-dress-wanita-gabby-collared-knit-midi-dress-l-15089,False,0,False,False,False,29309078,New In,https://www.tokopedia.com/lovebonitoid/etalase/new-in,1764,Midi Dress,Midi Dress,https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress,False,False,0,"['1758', '1762', '1764']","['Fashion Wanita', 'Dress', 'Midi Dress']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/dress', 'https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress']",0,0,0,0,,157,0,0,0.0,"Love, Bonito - Dress Wanita - Gabby Collared Knit Midi Dress - L",669000,IDR,True,7,True,True,0.0,0
9,love-bonito-atasan-wanita-aria-relaxed-turtle-neck-knit-sweater-oat-l-39a94,2023-11-09T01:07:09+07:00,12058523814,9633142,"Love, Bonito Indonesia",1,5,300,GRAM,NEW,ACTIVE,https://www.tokopedia.com/lovebonitoid/love-bonito-atasan-wanita-aria-relaxed-turtle-neck-knit-sweater-oat-l-39a94,False,0,False,False,False,29309078,New In,https://www.tokopedia.com/lovebonitoid/etalase/new-in,1810,Sweater Wanita,Sweater Wanita,https://www.tokopedia.com/p/fashion-wanita/outerwear-wanita/sweater-wanita,False,False,0,"['1758', '1796', '1810']","['Fashion Wanita', 'Outerwear Wanita', 'Sweater Wanita']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/outerwear-wanita', 'https://www.tokopedia.com/p/fashion-wanita/outerwear-wanita/sweater-wanita']",4,1,5,5,6,230,2,0,5.0,"Love, Bonito - Atasan Wanita - Aria Relaxed Turtle Neck Knit Sweater - Oat, L",749000,IDR,True,5,True,True,0.021739130434782608,3745000
